run,ticker,entry_date,entry_px,shares,last_date,bridged,exit_date,exit_px,reason,added,add_date
BASELINE,HAL,2016-04-07,35.97,295.0801,2016-05-03,False,2016-05-04,40.13,rollback,,
BASELINE,WMT,2016-03-22,22.6667,460.3875,2016-05-23,False,2016-05-24,23.2167,rollback,,
BASELINE,WFM,2016-05-06,29.95,354.802,2016-05-27,False,2016-05-31,31.96,rollback,,
BASELINE,KR,2016-03-14,38.43,267.781,2016-06-02,False,2016-06-03,36.2,rollback,,
BASELINE,MU,2016-04-27,11.34,963.9411,2016-06-09,False,2016-06-10,12.32,rollback,,
BASELINE,FE,2016-04-28,32.67,335.2745,2016-06-10,False,2016-06-13,33.68,rollback,,
BASELINE,T,2016-05-31,39.03,285.0458,2016-07-07,False,2016-07-08,42.13,rollback,,
BASELINE,ATVI,2016-06-15,38.46,284.3381,2016-07-07,False,2016-07-08,40.64,rollback,,
BASELINE,HST,2016-06-03,15.72,709.1639,2016-07-13,False,2016-07-14,16.58,rollback,,
BASELINE,DAL,2016-03-17,48.58,212.4416,2016-07-21,False,2016-07-22,39.07,rollback,,
BASELINE,GOOG,2016-02-29,35.016,285.9972,2016-07-26,False,2016-07-27,36.914,rollback,,
BASELINE,EBAY,2016-04-28,25.09,436.6087,2016-08-09,False,2016-08-10,31.11,rollback,,
BASELINE,AAPL,2016-07-08,24.1225,459.1314,2016-08-11,False,2016-08-12,26.945,rollback,,
BASELINE,AABA,2016-06-10,36.97,298.6767,2016-08-23,False,2016-08-24,42.5,rollback,,
BASELINE,WFC,2016-08-12,48.05,245.1974,2016-09-06,False,2016-09-07,49.79,rollback,,
BASELINE,NEE,2016-07-22,32.0025,360.1073,2016-09-26,False,2016-09-27,31.7725,rollback,,
BASELINE,PG,2016-03-03,82.54,124.5109,2016-10-03,False,2016-10-04,88.29,rollback,,
BASELINE,FAST,2016-04-28,11.7725,930.4707,2016-10-07,False,2016-10-10,10.6175,rollback,,
BASELINE,KLAC,2016-10-04,7.036,1688.5191,2016-10-11,False,2016-10-12,7.23,rollback,,
BASELINE,KR,2016-10-12,30.24,389.9382,2016-10-13,False,2016-10-14,31.17,rollback,,
BASELINE,FOXA,2016-07-14,28.18,403.5865,2016-10-24,False,2016-10-25,25.59,rollback,,
BASELINE,GOOGL,2016-09-07,40.3965,293.1412,2016-10-25,False,2016-10-26,41.356,rollback,,
BASELINE,SBUX,2016-08-24,57.0,207.2234,2016-11-09,False,2016-11-10,54.64,rollback,,
BASELINE,WMT,2016-08-10,24.5233,476.8963,2016-11-14,False,2016-11-15,23.5967,rollback,,
BASELINE,CMG,2016-09-27,8.39,1389.5051,2016-11-15,False,2016-11-16,7.98,rollback,,
BASELINE,FCX,2016-10-26,10.45,1114.0402,2016-11-17,False,2016-11-18,13.79,rollback,,
BASELINE,BMY,2016-10-10,50.79,234.582,2016-11-22,False,2016-11-23,56.05,rollback,,
BASELINE,C,2016-05-24,45.45,237.4858,2016-11-28,False,2016-11-29,55.5,rollback,,
BASELINE,ORLY,2016-10-14,18.6733,629.6699,2016-11-30,False,2016-12-01,18.2413,rollback,,
BASELINE,CMCSA,2016-11-10,31.765,385.4659,2016-12-02,False,2016-12-05,34.51,rollback,,
BASELINE,CVS,2016-12-01,76.62,161.6375,2016-12-08,False,2016-12-09,78.88,rollback,,
BASELINE,AVGO,2016-12-09,18.095,694.455,2016-12-12,False,2016-12-13,17.874,rollback,,
BASELINE,KO,2016-11-29,41.52,297.0225,2016-12-13,False,2016-12-14,41.89,rollback,,
BASELINE,XOM,2016-11-16,86.74,135.7702,2016-12-19,False,2016-12-20,90.51,rollback,,
BASELINE,PFE,2016-12-13,32.81,383.803,2016-12-21,False,2016-12-22,32.29,rollback,,
BASELINE,BSX,2016-07-29,24.33,476.3341,2016-12-28,False,2016-12-29,21.65,rollback,,
BASELINE,NKE,2016-11-18,51.39,242.2441,2017-01-09,False,2017-01-10,53.55,rollback,,
BASELINE,AMZN,2016-10-25,41.965,280.3,2017-01-17,False,2017-01-18,40.475,rollback,,
BASELINE,NFLX,2016-12-05,12.073,1017.6003,2017-01-20,False,2017-01-23,13.865,rollback,,
BASELINE,FB,2016-12-14,120.0,105.337,2017-01-31,False,2017-02-01,132.25,rollback,,
BASELINE,LRCX,2016-12-20,10.819,1155.8498,2017-01-31,False,2017-02-01,11.591,rollback,,
BASELINE,PG,2017-01-18,84.8,149.7101,2017-02-06,False,2017-02-07,87.64,rollback,,
BASELINE,KLAC,2016-12-22,7.898,1585.6418,2017-02-09,False,2017-02-10,8.696,rollback,,
BASELINE,HPQ,2016-07-08,13.05,848.647,2017-02-15,False,2017-02-16,15.99,rollback,,
BASELINE,COG,2017-01-03,22.98,539.0127,2017-02-16,False,2017-02-17,23.01,rollback,,
BASELINE,HBAN,2017-01-10,13.35,948.5339,2017-02-16,False,2017-02-17,14.02,rollback,,
BASELINE,BAC,2017-02-10,23.19,559.1533,2017-02-23,False,2017-02-24,24.12,rollback,,
BASELINE,EXC,2017-02-01,35.66,361.1349,2017-02-27,False,2017-02-28,36.47,rollback,,
BASELINE,ABBV,2017-02-16,61.67,214.1822,2017-03-21,False,2017-03-22,65.38,rollback,,
BASELINE,LRCX,2017-02-22,11.763,1119.3054,2017-03-21,False,2017-03-22,12.408,rollback,,
BASELINE,INTC,2017-01-23,37.07,344.8228,2017-04-28,False,2017-05-01,36.11,rollback,,
BASELINE,EW,2017-02-02,30.72,414.7387,2017-05-11,False,2017-05-12,36.6967,rollback,,
BASELINE,QCOM,2016-11-23,68.33,182.6973,2017-05-25,False,2017-05-26,57.66,rollback,,
BASELINE,F,2017-02-28,12.63,1042.6996,2017-06-02,False,2017-06-05,11.36,rollback,,
BASELINE,PHM,2017-05-12,23.0,560.2479,2017-06-05,False,2017-06-06,23.21,rollback,,
BASELINE,NEE,2017-03-22,33.0025,392.7926,2017-06-08,False,2017-06-09,35.275,rollback,,
BASELINE,AMD,2017-05-02,11.73,1103.2197,2017-06-09,False,2017-06-12,11.75,rollback,,
BASELINE,BAC,2017-06-12,23.82,537.6331,2017-06-30,False,2017-07-03,24.46,rollback,,
BASELINE,WMB,2017-02-07,28.93,448.4152,2017-07-05,False,2017-07-06,30.5,rollback,,
BASELINE,RF,2017-06-09,14.14,908.5631,2017-07-05,False,2017-07-06,14.84,rollback,,
BASELINE,GILD,2017-06-06,65.19,195.6905,2017-07-06,False,2017-07-07,69.69,rollback,,
BASELINE,PYPL,2017-07-06,54.22,236.5214,2017-07-11,False,2017-07-12,56.6,rollback,,
BASELINE,RIG,2017-02-24,13.99,939.429,2017-07-20,False,2017-07-21,8.74,rollback,,
BASELINE,HPE,2017-07-06,16.85,761.1177,2017-07-24,False,2017-07-25,17.84,rollback,,
BASELINE,AVGO,2017-07-10,24.051,526.1525,2017-07-27,False,2017-07-28,24.892,rollback,,
BASELINE,KMI,2016-11-15,21.5,574.382,2017-08-01,False,2017-08-02,20.2,rollback,,
BASELINE,NEM,2017-03-22,34.23,378.688,2017-08-04,False,2017-08-07,36.15,rollback,,
BASELINE,T,2017-02-21,41.37,318.1595,2017-08-08,False,2017-08-09,38.2,rollback,,
BASELINE,TJX,2017-07-03,36.325,351.9913,2017-08-09,False,2017-08-10,35.345,rollback,,
BASELINE,HBI,2017-08-03,23.76,558.7451,2017-08-09,False,2017-08-10,24.11,rollback,,
BASELINE,INTC,2017-05-26,36.26,351.4383,2017-08-10,False,2017-08-11,36.26,rollback,,
BASELINE,VZ,2017-07-21,44.23,295.7539,2017-08-15,False,2017-08-16,48.37,rollback,,
BASELINE,LRCX,2017-08-16,16.145,820.5671,2017-08-23,False,2017-08-24,16.221,rollback,,
BASELINE,MU,2017-07-12,31.77,406.1635,2017-08-24,False,2017-08-25,30.3,rollback,,
BASELINE,MSFT,2017-08-15,73.59,179.8648,2017-09-01,False,2017-09-05,73.34,rollback,,
BASELINE,SPLS,2017-08-15,10.2,1297.5423,2017-09-12,False,2017-09-12,10.25,delisted,,
BASELINE,FAST,2017-06-05,11.0675,1150.5157,2017-09-19,False,2017-09-20,11.1075,rollback,,
BASELINE,BAC,2017-07-26,24.67,533.2719,2017-09-25,False,2017-09-26,24.83,rollback,,
BASELINE,GPS,2017-08-25,23.39,562.536,2017-10-03,False,2017-10-04,29.04,rollback,,
BASELINE,HPE,2017-09-26,14.74,928.5947,2017-10-03,False,2017-10-04,14.7,rollback,,
BASELINE,HPQ,2017-08-25,19.54,673.4071,2017-10-09,False,2017-10-10,20.6165,rollback,,
BASELINE,WFC,2017-09-13,51.39,260.7298,2017-10-09,False,2017-10-10,55.37,rollback,,
BASELINE,AAPL,2017-10-10,39.0138,356.8172,2017-10-19,False,2017-10-20,39.1525,rollback,,
BASELINE,WMT,2017-10-10,27.56,505.0835,2017-10-30,False,2017-10-31,28.9533,rollback,,
BASELINE,NRG,2017-09-20,24.67,552.0783,2017-11-09,False,2017-11-10,27.75,rollback,,
BASELINE,SBUX,2017-07-28,55.23,240.5947,2017-11-13,False,2017-11-14,56.47,rollback,,
BASELINE,AVGO,2017-08-08,25.198,529.8672,2017-11-13,False,2017-11-14,26.33,rollback,,
BASELINE,NWL,2017-10-04,43.05,319.3285,2017-12-05,False,2017-12-06,31.7,rollback,,
BASELINE,F,2017-11-01,12.4,1082.0819,2017-12-05,False,2017-12-06,12.4,rollback,,
BASELINE,T,2017-11-14,34.19,382.3455,2017-12-06,False,2017-12-07,36.13,rollback,,
BASELINE,CMCSA,2017-11-10,36.5,358.7215,2017-12-07,False,2017-12-08,38.5,rollback,,
BASELINE,TJX,2017-11-14,33.8,386.7379,2017-12-08,False,2017-12-11,36.87,rollback,,
BASELINE,CMG,2017-09-05,6.386,2071.7752,2017-12-14,False,2017-12-15,6.256,rollback,,
BASELINE,VZ,2017-10-20,49.45,284.4574,2017-12-20,False,2017-12-21,52.81,rollback,,
BASELINE,GOOGL,2017-12-08,52.5905,264.5003,2017-12-20,False,2017-12-21,53.7695,rollback,,
BASELINE,GOOG,2017-12-08,51.8745,268.1376,2017-12-21,False,2017-12-22,53.0555,rollback,,
BASELINE,MU,2017-12-21,45.55,317.2004,2018-01-08,False,2018-01-09,45.27,rollback,,
BASELINE,AMD,2017-10-04,13.31,1032.8911,2018-01-09,False,2018-01-10,11.63,rollback,,
BASELINE,FCX,2017-12-07,14.2,972.0091,2018-01-09,False,2018-01-10,19.07,rollback,,
BASELINE,CSX,2017-08-15,16.9633,780.2487,2018-01-10,False,2018-01-11,19.54,rollback,,
BASELINE,GLW,2017-12-11,32.4,430.2287,2018-01-10,False,2018-01-11,33.44,rollback,,
BASELINE,AMAT,2017-12-21,53.18,271.6765,2018-01-10,False,2018-01-11,53.47,rollback,,
BASELINE,TJX,2018-01-11,38.075,395.8019,2018-01-16,False,2018-01-17,38.36,rollback,,
BASELINE,AES,2017-08-09,11.45,1157.8469,2018-01-24,False,2018-01-25,11.15,rollback,,
BASELINE,COP,2017-12-06,51.07,272.5582,2018-01-25,False,2018-01-26,59.7,rollback,,
BASELINE,PM,2018-01-18,105.46,146.8167,2018-01-25,False,2018-01-26,107.36,rollback,,
BASELINE,C,2017-12-22,75.89,189.5109,2018-01-30,False,2018-01-31,78.78,rollback,,
BASELINE,MGM,2018-01-10,33.44,449.2974,2018-01-31,False,2018-02-01,36.49,rollback,,
BASELINE,T,2018-01-29,37.13,433.1723,2018-02-02,False,2018-02-05,37.81,rollback,,
BASELINE,NEE,2018-01-26,38.715,411.1948,2018-02-05,False,2018-02-06,37.9575,rollback,,
BASELINE,NFLX,2017-12-18,19.12,742.4113,2018-02-20,False,2018-02-21,28.207,rollback,,
BASELINE,BA,2018-02-13,340.45,43.9681,2018-02-20,False,2018-02-21,352.56,rollback,,
BASELINE,MU,2018-01-18,44.21,350.2389,2018-02-21,False,2018-02-22,44.78,rollback,,
BASELINE,BMY,2018-01-11,61.99,243.0941,2018-02-22,False,2018-02-23,66.17,rollback,,
BASELINE,GOOGL,2018-02-22,55.9585,279.361,2018-02-27,False,2018-02-28,56.1,rollback,,
BASELINE,PFE,2018-01-17,36.82,414.2338,2018-02-28,False,2018-03-01,36.12,rollback,,
BASELINE,KLAC,2018-02-21,11.081,1416.9367,2018-03-01,False,2018-03-02,11.005,rollback,,
BASELINE,NEE,2018-03-02,38.3,409.0707,2018-03-06,False,2018-03-07,38.185,rollback,,
BASELINE,PCG,2018-03-01,41.09,386.9798,2018-03-07,False,2018-03-08,41.14,rollback,,
BASELINE,M,2018-01-11,25.47,591.7122,2018-03-08,False,2018-03-09,29.31,rollback,,
BASELINE,KO,2018-03-09,44.57,359.858,2018-03-12,False,2018-03-13,44.67,rollback,,
BASELINE,SCHW,2018-02-02,54.75,283.8201,2018-03-14,False,2018-03-15,56.32,rollback,,
BASELINE,INTC,2018-02-21,46.67,336.4444,2018-03-15,False,2018-03-16,51.17,rollback,,
BASELINE,EXC,2018-02-01,38.53,408.8779,2018-03-19,False,2018-03-20,38.29,rollback,,
BASELINE,DHI,2018-03-13,44.6,364.1233,2018-04-06,False,2018-04-09,45.52,rollback,,
BASELINE,MRK,2018-03-16,55.19,290.6463,2018-04-11,False,2018-04-12,56.6,rollback,,
BASELINE,SO,2018-03-02,43.98,356.2215,2018-04-18,False,2018-04-19,45.35,rollback,,
BASELINE,NFLX,2018-04-12,30.9719,508.3096,2018-04-23,False,2018-04-24,31.9217,rollback,,
BASELINE,HST,2018-03-15,18.96,849.2618,2018-04-24,False,2018-04-25,19.27,rollback,,
BASELINE,VZ,2018-03-09,49.2,326.0096,2018-04-26,False,2018-04-27,50.25,rollback,,
BASELINE,KIM,2018-02-23,15.06,1037.7092,2018-04-30,False,2018-05-01,14.52,rollback,,
BASELINE,ABBV,2018-04-27,97.44,165.7151,2018-04-30,False,2018-05-01,102.1,rollback,,
BASELINE,CVX,2018-04-10,117.6,133.0573,2018-05-01,False,2018-05-02,124.2,rollback,,
BASELINE,NVDA,2018-03-21,6.233,2541.4097,2018-05-15,False,2018-05-16,6.1,rollback,,
BASELINE,ORLY,2018-03-07,16.6213,963.3597,2018-05-18,False,2018-05-21,18.2567,rollback,,
BASELINE,WDC,2018-05-16,83.5,197.3388,2018-05-18,False,2018-05-21,86.63,rollback,,
BASELINE,MU,2018-04-19,52.9,303.8872,2018-05-31,False,2018-06-01,58.81,rollback,,
BASELINE,KO,2018-05-24,42.4,392.811,2018-05-31,False,2018-06-01,43.1,rollback,,
BASELINE,F,2018-04-27,11.4,1416.4989,2018-06-11,False,2018-06-12,12.07,rollback,,
BASELINE,HBAN,2018-06-04,15.22,1082.8285,2018-06-11,False,2018-06-12,15.67,rollback,,
BASELINE,CMCSA,2018-04-24,34.09,463.3943,2018-06-18,False,2018-06-19,32.17,rollback,,
BASELINE,CELG,2018-01-29,104.76,128.8449,2018-07-11,False,2018-07-12,83.88,rollback,,
BASELINE,FOXA,2018-05-01,36.43,435.9778,2018-07-11,False,2018-07-12,47.97,rollback,,
BASELINE,MGM,2018-06-13,31.47,540.9308,2018-07-19,False,2018-07-20,30.71,rollback,,
BASELINE,ORCL,2018-05-02,45.89,347.3219,2018-07-26,False,2018-07-27,48.99,rollback,,
BASELINE,PM,2018-05-24,81.6,204.0975,2018-07-31,False,2018-08-01,86.03,rollback,,
BASELINE,HST,2018-07-20,21.4,807.8071,2018-08-03,False,2018-08-06,21.56,rollback,,
BASELINE,WMB,2018-06-19,26.87,625.1848,2018-08-13,False,2018-08-14,30.76,rollback,,
BASELINE,TJX,2018-07-12,47.515,365.3309,2018-08-13,False,2018-08-14,49.8,rollback,,
BASELINE,CMG,2018-07-12,9.1978,1887.3605,2018-08-16,False,2018-08-17,10.1008,rollback,,
BASELINE,GGP,2018-05-01,20.02,793.3799,2018-08-27,False,2018-08-27,22.06,delisted,,
BASELINE,MRO,2018-06-12,21.48,785.6837,2018-08-30,False,2018-08-31,21.51,rollback,,
BASELINE,NLSN,2018-08-15,25.4,674.5103,2018-08-30,False,2018-08-31,25.93,rollback,,
BASELINE,V,2018-08-14,140.3,122.3395,2018-09-17,False,2018-09-18,146.2,rollback,,
BASELINE,GILD,2018-08-31,76.32,226.9817,2018-10-04,False,2018-10-05,76.77,rollback,,
BASELINE,INTC,2018-09-04,48.38,357.8042,2018-10-04,False,2018-10-05,48.23,rollback,,
BASELINE,GE,2018-08-01,67.5344,257.7315,2018-10-11,False,2018-10-12,62.4512,rollback,,
BASELINE,SBUX,2018-10-15,56.37,280.611,2018-10-19,False,2018-10-22,58.93,rollback,,
BASELINE,F,2018-08-28,10.08,1735.5218,2018-11-09,False,2018-11-12,9.38,rollback,,
BASELINE,BAC,2018-10-05,30.6,550.413,2018-11-09,False,2018-11-12,28.38,rollback,,
BASELINE,FITB,2018-08-17,29.78,573.9913,2018-11-12,False,2018-11-13,27.59,rollback,,
BASELINE,KEY,2018-10-05,20.55,819.5521,2018-11-12,False,2018-11-13,18.27,rollback,,
BASELINE,PBCT,2018-11-16,15.96,990.8397,2018-11-19,False,2018-11-20,15.99,rollback,,
BASELINE,AMAT,2018-07-27,48.63,362.9409,2018-11-29,False,2018-11-30,36.47,rollback,,
BASELINE,NWL,2018-02-08,29.38,520.0741,2018-12-04,False,2018-12-06,23.28,rollback,,
BASELINE,PFE,2018-10-22,44.44,354.3828,2018-12-04,False,2018-12-06,44.58,rollback,,
BASELINE,KLAC,2018-11-21,9.562,1662.7265,2018-12-04,False,2018-12-06,9.421,rollback,,
BASELINE,BAX,2018-11-23,64.96,241.8852,2018-12-04,False,2018-12-06,66.35,rollback,,
BASELINE,COTY,2018-09-18,12.33,1372.1694,2019-01-09,False,2019-01-10,7.29,rollback,,
BASELINE,FB,2018-12-07,139.25,113.9353,2019-01-11,False,2019-01-14,142.0,rollback,,
BASELINE,TXN,2018-11-21,97.75,162.6414,2019-01-14,False,2019-01-15,96.99,rollback,,
BASELINE,ANET,2018-12-07,14.8863,1065.7249,2019-01-16,False,2019-01-17,13.7369,rollback,,
BASELINE,HPQ,2018-12-07,23.9,663.7618,2019-01-22,False,2019-01-23,21.41,rollback,,
BASELINE,CSX,2019-01-10,21.27,714.3348,2019-01-22,False,2019-01-23,22.0267,rollback,,
BASELINE,ABT,2019-01-14,68.41,222.9514,2019-01-23,False,2019-01-24,70.0,rollback,,
BASELINE,WMB,2018-11-20,25.11,631.3034,2019-02-05,False,2019-02-06,27.15,rollback,,
BASELINE,KMI,2018-08-07,18.05,978.0264,2019-02-06,False,2019-02-07,18.02,rollback,,
BASELINE,ORLY,2019-01-15,22.75,675.088,2019-02-06,False,2019-02-07,24.1067,rollback,,
BASELINE,AAPL,2019-01-28,38.9475,392.0275,2019-02-11,False,2019-02-12,42.525,rollback,,
BASELINE,WDC,2019-01-25,45.5,341.316,2019-02-15,False,2019-02-19,48.42,rollback,,
BASELINE,WMT,2019-02-08,32.1133,490.5857,2019-02-20,False,2019-02-21,33.22,rollback,,
BASELINE,KEY,2019-02-08,17.01,926.2266,2019-02-21,False,2019-02-22,17.71,rollback,,
BASELINE,MDT,2019-01-18,88.52,177.1109,2019-02-25,False,2019-02-26,92.25,rollback,,
BASELINE,BMY,2018-12-07,53.23,298.0108,2019-03-06,False,2019-03-07,52.7,rollback,,
BASELINE,WFC,2019-02-26,49.49,326.2625,2019-03-19,False,2019-03-20,51.19,rollback,,
BASELINE,NVDA,2019-02-13,3.809,4240.7387,2019-03-20,False,2019-03-21,4.3833,rollback,,
BASELINE,AMZN,2019-02-06,83.5375,191.8979,2019-03-22,False,2019-03-25,87.8895,rollback,,
BASELINE,AMD,2019-03-20,26.49,622.3762,2019-03-22,False,2019-03-25,26.29,rollback,,
BASELINE,DHI,2019-03-08,40.34,386.299,2019-03-26,False,2019-03-27,42.14,rollback,,
BASELINE,FCX,2019-03-21,12.71,1284.5059,2019-04-05,False,2019-04-08,13.45,rollback,,
BASELINE,F,2019-03-27,8.75,1862.9398,2019-04-15,False,2019-04-16,9.32,rollback,,
BASELINE,BKNG,2018-06-01,84.8396,194.4125,2019-04-16,False,2019-04-17,73.9452,rollback,,
BASELINE,BAC,2019-02-19,28.93,567.6795,2019-04-22,False,2019-04-23,29.99,rollback,,
BASELINE,HRB,2019-02-22,24.66,657.3563,2019-04-23,False,2019-04-24,26.35,rollback,,
BASELINE,WMT,2019-04-08,32.8167,495.8744,2019-04-26,False,2019-04-29,33.96,rollback,,
BASELINE,NEE,2019-04-16,47.765,346.4755,2019-05-01,False,2019-05-02,48.21,rollback,,
BASELINE,FB,2019-03-27,167.85,97.11,2019-05-02,False,2019-05-03,194.38,rollback,,
BASELINE,JNJ,2019-04-17,139.0,123.8998,2019-05-02,False,2019-05-03,141.29,rollback,,
BASELINE,CVS,2019-01-24,65.5,235.3829,2019-05-03,False,2019-05-06,55.97,rollback,,
BASELINE,GE,2019-04-29,47.6984,366.6042,2019-05-07,False,2019-05-08,50.24,rollback,,
BASELINE,QCOM,2018-11-30,58.22,278.7898,2019-05-08,False,2019-05-09,83.37,rollback,,
BASELINE,PFE,2019-05-03,41.22,429.538,2019-05-17,False,2019-05-20,41.4,rollback,,
BASELINE,COTY,2019-05-06,11.26,1544.3434,2019-05-22,False,2019-05-23,13.03,rollback,,
BASELINE,DWDP,2019-02-21,56.28,290.222,2019-05-31,False,2019-05-31,30.52,delisted,,
BASELINE,AMD,2019-05-03,28.3,625.7006,2019-06-12,False,2019-06-13,32.39,rollback,,
BASELINE,AMAT,2019-05-20,41.8,410.8953,2019-06-12,False,2019-06-13,41.61,rollback,,
BASELINE,CMG,2019-05-03,14.1514,1251.2149,2019-06-13,False,2019-06-14,14.6776,rollback,,
BASELINE,CVX,2019-05-10,121.17,140.882,2019-06-19,False,2019-06-20,124.31,rollback,,
BASELINE,CTL,2019-03-27,12.25,1330.5383,2019-06-21,False,2019-06-24,11.38,rollback,,
BASELINE,STX,2019-05-09,48.21,354.241,2019-06-25,False,2019-06-26,47.24,rollback,,
BASELINE,WMT,2019-05-23,33.94,492.7302,2019-06-26,False,2019-06-27,36.6867,rollback,,
BASELINE,NVDA,2019-06-14,3.6128,4893.9915,2019-07-02,False,2019-07-03,4.0793,rollback,,
BASELINE,JCI,2019-06-13,39.82,443.1437,2019-07-08,False,2019-07-09,41.66,rollback,,
BASELINE,ANET,2019-06-27,16.0494,1138.5167,2019-07-08,False,2019-07-09,16.6244,rollback,,
BASELINE,ORLY,2019-07-03,25.5333,729.5685,2019-07-19,False,2019-07-22,26.5413,rollback,,
BASELINE,EW,2019-07-10,63.01,297.7995,2019-08-05,False,2019-08-06,70.4867,rollback,,
BASELINE,APC,2019-06-27,70.69,258.475,2019-08-08,False,2019-08-08,72.77,delisted,,
BASELINE,NEE,2019-08-07,52.8475,332.5602,2019-08-14,False,2019-08-15,53.6575,rollback,,
BASELINE,F,2019-06-14,10.01,1766.2466,2019-09-10,False,2019-09-11,9.29,rollback,,
BASELINE,AAPL,2019-08-19,52.655,338.5022,2019-09-13,False,2019-09-16,54.4325,rollback,,
BASELINE,ATVI,2019-04-24,46.45,375.1085,2019-09-16,False,2019-09-17,55.5,rollback,,
BASELINE,VZ,2019-06-20,57.9,313.4658,2019-09-16,False,2019-09-17,59.32,rollback,,
BASELINE,C,2019-06-05,65.45,259.9334,2019-09-19,False,2019-09-20,70.15,rollback,,
BASELINE,FCX,2019-07-22,11.56,1584.3065,2019-09-23,False,2019-09-24,10.31,rollback,,
BASELINE,NFLX,2019-04-23,37.545,460.383,2019-10-18,False,2019-10-21,27.289,rollback,,
BASELINE,ALXN,2019-09-11,109.87,166.8949,2019-10-25,False,2019-10-28,105.0,rollback,,
BASELINE,AMD,2019-06-28,31.08,593.1482,2019-10-29,False,2019-10-30,32.93,rollback,,
BASELINE,MSFT,2019-08-09,138.61,131.3206,2019-10-31,False,2019-11-01,144.26,rollback,,
BASELINE,FTNT,2019-09-17,15.98,1151.5819,2019-10-31,False,2019-11-01,17.732,rollback,,
BASELINE,MRK,2019-09-23,84.91,214.5675,2019-11-01,False,2019-11-04,85.59,rollback,,
BASELINE,XOM,2019-11-04,70.07,267.7108,2019-11-06,False,2019-11-07,72.03,rollback,,
BASELINE,MRO,2019-11-04,12.32,1522.5289,2019-11-06,False,2019-11-07,12.61,rollback,,
BASELINE,JNJ,2019-07-09,141.46,131.324,2019-11-18,False,2019-11-19,135.0,rollback,,
BASELINE,HPQ,2019-10-28,17.46,1057.2427,2019-11-20,False,2019-11-21,19.81,rollback,,
BASELINE,CMG,2019-09-18,16.5,1111.3494,2019-12-04,False,2019-12-05,16.18,rollback,,
BASELINE,KO,2019-10-21,54.45,335.4846,2019-12-05,False,2019-12-06,54.31,rollback,,
BASELINE,NEM,2019-09-18,39.53,463.859,2019-12-06,False,2019-12-09,40.12,rollback,,
BASELINE,SLB,2019-11-21,36.42,517.3927,2019-12-13,False,2019-12-16,39.11,rollback,,
BASELINE,F,2019-11-04,8.93,2100.7201,2019-12-17,False,2019-12-18,9.39,rollback,,
BASELINE,ATVI,2019-10-31,55.93,332.6199,2019-12-24,False,2019-12-26,58.81,rollback,,
BASELINE,HAL,2019-12-05,21.6,876.1245,2019-12-26,False,2019-12-27,24.55,rollback,,
BASELINE,NVDA,2019-11-19,5.2758,3592.4854,2019-12-27,False,2019-12-30,5.8998,rollback,,
BASELINE,NFLX,2019-12-18,31.626,630.9438,2019-12-27,False,2019-12-30,32.908,rollback,,
